Date : 2022-03-24 13:44:22
Directory : e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app
Total : 100 files,  14236 codes, 81 comments, 312 blanks, all 14629 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          2 |     10,306 |          0 |          2 |     10,308 |
| TypeScript |         50 |      2,161 |         38 |        225 |      2,424 |
| HTML       |         23 |      1,726 |         20 |         58 |      1,804 |
| PostCSS    |         25 |         43 |         23 |         27 |         93 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                             |        100 |     14,236 |         81 |        312 |     14,629 |
| _guards                                                                                                                                       |          2 |         60 |          0 |          4 |         64 |
| _interceptors                                                                                                                                 |          3 |        101 |         10 |          9 |        120 |
| _models                                                                                                                                       |          9 |         87 |          0 |         10 |         97 |
| _modules                                                                                                                                      |          1 |         33 |          0 |          2 |         35 |
| _seed                                                                                                                                         |          5 |     10,379 |          9 |          9 |     10,397 |
| _seed\Data                                                                                                                                    |          2 |     10,306 |          0 |          2 |     10,308 |
| _seed\seeder                                                                                                                                  |          3 |         73 |          9 |          7 |         89 |
| _services                                                                                                                                     |          5 |        401 |          7 |         25 |        433 |
| _theming                                                                                                                                      |          2 |          4 |         20 |          0 |         24 |
| employer                                                                                                                                      |         18 |      1,059 |          9 |         53 |      1,121 |
| employer\employer-profile                                                                                                                     |          3 |        100 |          5 |         12 |        117 |
| employer\employer-profile-edit                                                                                                                |          3 |        235 |          0 |          8 |        243 |
| employer\employer-vacancy-create                                                                                                              |          3 |        257 |          1 |          8 |        266 |
| employer\employer-vacancy-edit                                                                                                                |          3 |        286 |          2 |         10 |        298 |
| employer\employer-vacancy-list                                                                                                                |          3 |        110 |          0 |          9 |        119 |
| employer\employer-view-vacancy-reqs                                                                                                           |          3 |         71 |          1 |          6 |         78 |
| jobseeker                                                                                                                                     |         24 |        964 |         10 |         78 |      1,052 |
| jobseeker\js-applied-vacancies                                                                                                                |          3 |        107 |          1 |         12 |        120 |
| jobseeker\js-create-experience                                                                                                                |          3 |        221 |          5 |         15 |        241 |
| jobseeker\js-create-qualification                                                                                                             |          3 |        153 |          1 |         10 |        164 |
| jobseeker\js-edit-profile                                                                                                                     |          3 |        257 |          2 |          9 |        268 |
| jobseeker\js-list-item-experience                                                                                                             |          3 |         37 |          0 |          7 |         44 |
| jobseeker\js-list-item-profile                                                                                                                |          3 |         48 |          0 |          7 |         55 |
| jobseeker\js-list-item-qualification                                                                                                          |          3 |         31 |          0 |          7 |         38 |
| jobseeker\js-profile                                                                                                                          |          3 |        110 |          1 |         11 |        122 |
| landing-page-components                                                                                                                       |         16 |        528 |          5 |         66 |        599 |
| landing-page-components\home                                                                                                                  |          4 |         88 |          0 |         14 |        102 |
| landing-page-components\login                                                                                                                 |          4 |        104 |          1 |         18 |        123 |
| landing-page-components\navbar                                                                                                                |          4 |        160 |          1 |         16 |        177 |
| landing-page-components\register                                                                                                              |          4 |        176 |          3 |         18 |        197 |
| page-not-found                                                                                                                                |          3 |         26 |          0 |          8 |         34 |
| vacancies                                                                                                                                     |          6 |        354 |          4 |         25 |        383 |
| vacancies\vacancy-list                                                                                                                        |          3 |        301 |          4 |         17 |        322 |
| vacancies\vacancy-list-item                                                                                                                   |          3 |         53 |          0 |          8 |         61 |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                      | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_guards\auth-employer.guard.ts                                                 | TypeScript |         25 |          0 |          2 |         27 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_guards\auth-job-seeker.guard.ts                                               | TypeScript |         35 |          0 |          2 |         37 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_interceptors\error.interceptor.ts                                             | TypeScript |         45 |         10 |          3 |         58 |
| e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_interceptors\jwt.interceptor.ts                                               | TypeScript |         31 |          0 |          3 |         34 |
